,Casos,Ult.24h,Inc.14d,Recup,Fallec,Fecha_act
Andalucía,3010,539,34.57,,,2020-03-24 20:00:00
Aragón,907,149,65.09,,,2020-03-24 20:00:00
Principado de Asturias,779,117,73.24,,,2020-03-24 20:00:00
Islas Baleares,562,84,45.55,,,2020-03-24 20:00:00
Canarias,657,100,27.92,,,2020-03-24 20:00:00
Cantabria,510,85,85.57,,,2020-03-24 20:00:00
Castilla y León,2940,480,119.40,,,2020-03-24 20:00:00
Castilla La Mancha,2780,315,132.90,,,2020-03-24 20:00:00
Cataluña,9937,2073,128.54,,,2020-03-24 20:00:00
Galicia,1653,238,59.95,,,2020-03-24 20:00:00
C. Valenciana,2616,449,51.03,,,2020-03-24 20:00:00
Extremadura,742,106,68.97,,,2020-03-24 20:00:00
Comunidad de Madrid,14597,2245,203.02,,,2020-03-24 20:00:00
Región de Murcia,477,92,31.18,,,2020-03-24 20:00:00
Comunidad Foral de Navarra,1197,183,176.39,,,2020-03-24 20:00:00
País Vasco,3271,543,139.60,,,2020-03-24 20:00:00
La Rioja,928,126,238.17,,,2020-03-24 20:00:00
Ceuta,9,3,10.66,,,2020-03-24 20:00:00
Melilla,38,10,45.08,,,2020-03-24 20:00:00
España,47610,7937,,5367,3434,2020-03-24 20:00:00
