,Título,Autor
0,LA CHICA DE NIEVE,JAVIER CASTILLO
1,LOBA NEGRA,JUAN GOMEZ-JURADO
2,REINA ROJA,JUAN GOMEZ-JURADO
3,EL DIA QUE SE PERDIO LA CORDURA. EL DIA 1,JAVIER CASTILLO
4,EL DIA QUE SE PERDIO EL AMOR. EL DIA 2,JAVIER CASTILLO
5,ESTUCHE BILOGIA EL DIA QUE SE PERDIO LA CORDURA (EL DIA QUE SE PERDIO LA CORDURA; EL DIA QUE SE PERDIO EL AMOR),JAVIER CASTILLO
6,LA NOVIA GITANA,CARMEN MOLA
7,LA NENA (INSPECTORA ELENA BLANCO 3),CARMEN MOLA
8,LA RED PÚRPURA,CARMEN MOLA
9,LA CARA NORTE DEL CORAZON,DOLORES REDONDO
10,TODO LO QUE SUCEDIO CON MIRANDA HUFF,JAVIER CASTILLO
11,LOS SEÑORES DEL TIEMPO,EVA GARCIA SAENZ DE URTURI
12,LOS RITOS DEL AGUA,EVA GARCIA SAENZ DE URTURI
13,LA PSICOLOGA,HELENE FLOOD
14,EL ULTIMO VERANO DE SILVIA BLANCH,LORENA FRANCO
15,LOS SOLITARIOS,ALVARO ARBINA
16,ESTUCHE TRILOGIA DE LA CIUDAD BLANCA,EVA GARCIA SAENZ DE URTURI
17,PACK TRILOGIA DEL BAZTAN,DOLORES REDONDO
18,LA BRUJA (SERIE FJALLBACKA 10),CAMILLA LACKBERG
19,EL PACIENTE,JUAN GOMEZ-JURADO
20,TODO ESTO TE DARE,DOLORES REDONDO
21,EL SILENCIO DE LA CIUDAD BLANCA,EVA GARCIA SAENZ DE URTURI
22,1793,NIKLAS NAT OCH DAG
23,LA MUJER EN LA VENTANA,A. J. FINN
24,CON EL AGUA AL CUELLO,DONNA LEON
25,OFRENDA A LA TORMENTA,DOLORES REDONDO
26,DIEZ NEGRITOS,AGATHA CHRISTIE
27,MEMORIAS DE UNA SALVAJE,@SRTABEBI
28,LA VERDAD SOBRE EL CASO HARRY QUEBERT,JOËL DICKER
29,EL GUARDIAN INVISIBLE,DOLORES REDONDO
30,EL CASO HARTUNG,SOREN SVEISTRUP
31,LOS RITOS DEL AGUA (TRILOGIA DE LA CIUDAD BLANCA 2),EVA GARCIA SAENZ DE URTURI
32,LA DESAPARICION DE STEPHANIE MAILER,JOËL DICKER
33,EL VISITANTE,STEPHEN KING
34,EL DIA QUE SE PERDIO EL AMOR,JAVIER CASTILLO
35,EL DIA QUE SE PERDIO LA CORDURA,JAVIER CASTILLO
36,LOS SEÑORES DEL TIEMPO (TRILOGIA DE LA CIUDAD BLANCA 3),EVA GARCIA SAENZ DE URTURI
37,LOS OJOS DE LA OSCURIDAD,DEAN KOONTZ
38,LA PACIENTE SILENCIOSA,ALEX MICHAELIDES
39,LA DANZA DE LOS TULIPANES,IBON MARTIN ALVAREZ
40,LEGADO EN LOS HUESOS,DOLORES REDONDO
41,OJOS DE AGUA ,DOMINGO VILLAR
42,LA HIJA DEL RELOJERO,KATE MORTON
43,ESCRITO EN EL AGUA,PAULA HAWKINS
44,LA PRINCESA DE HIELO ,CAMILLA LACKBERG
45,VESTIDO DE NOVIA,PIERRE LEMAITRE
46,CICATRIZ,JUAN GOMEZ-JURADO
47,KM 123,ANDREA CAMILLERI
48,CICATRIZ,JUAN GOMEZ-JURADO
49,EL CUARTO MONO,J.D. BARKER
50,ESPIA DE DIOS,JUAN GOMEZ-JURADO
51,PROGENIE,SUSANA MARTIN GIJON
52,ALGUIEN A QUIEN CONOCES,SHARI LAPENA
53,ENERO SANGRIENTO,ALAN PARKS
54,LEGADO EN LOS HUESOS,DOLORES REDONDO
55,EL PSICOANALISTA,JOHN KATZENBACH
56,AJUSTE DE CUENTAS,JOHN GRISHAM
57,EL HOMBRE DE TIZA,C. J. TUDOR
58,ASI COMIENZA,RACHEL ABBOTT
59,EL LARGO CAMINO A CASA,LOUISE PENNY
